real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
0,1.24787,1.35069,1.3353,1.2146,1.22099,1.20909,1.24708,1.28019,1.39817,3.32125,3.27871,3.03441,2.16908,1.16639,1.25572,1.30614,1.24721,1.4195,1.2307,1.32189,1.30016e+09,-47.2867,-51.6352,-55.8171,-59.6912,-62.4025,-63.8528,-65.5454,-64.8489,-63.1033,-60.9134,-49.0691,-43.333,-45.7736,-49.4989,-51.8905,-53.4808,-54.9679,-55.6902,-56.5145,-55.992,-54.7015,-51.6865,-50.39,-54.1926,-59.3541,-62.0857,-63.8016,-64.655,-65.04,-66.0819,-64.9099,-63.5189,-63.0817,-62.4436,-59.483,-56.1364,-51.8131,-48.2136,-90.564,-112.015,-123.145,-133.489,-140.401,-142.15,-144.299,-142.56,-134.013,-126.343,-121.116,-111.658,-109.897,-106.386,-96.6256,-122.299,-155.499,-181.339,-198.071,-212.609,-222.453,-229.901,-64.7145,-63.8805,-57.8802,-54.8688,-51.7734,-46.3859,-52.1104,-57.1207,-62.2153,-65.8293,-69.3625,-71.2663,-72.3208,-72.5116,-45.7588,-50.4745,-54.1503,-56.9056,-59.3419,-50.6128,-56.5111,-61.3032,-66.4867,-69.5331,-71.9084,-73.1673,-73.4069,-62.213,-62.213,-65.4283,-65.4283,-64.3441,-64.3441,-62.8135,-62.8135,-59.5779,-59.5779,-57.1786,-57.1786,-59.4212,-59.4212,-62.4617,-62.4617,-68.8089,-68.8089,-171.491,-169.057,-155.572,-108.054,-54.7032,-62.213,-59.4212,-61.5379,-63.3307,-53.5989,-61.4981,-63.9609,-101.548,-112.702,-116.644,-134.413,-111.85,-102.01,-103.747,-57.5892,-57.5703,-57.0863,-44.5683,-52.1654,-66.3713,-66.9111,-63.6922,-62.1758,-201.092,-177.631,-42.8964,-82.1008,-64.4749,-54.7312,-58.5535,-65.6947,-68.5205,-71.0697,-71.8712,-72.6176,-71.915,-73.1141,-73.0235,-48.9725,-54.7492,-58.0108,-193.809,-180.874,-218.691,-124.195,-169.963,-186.831,-153.079,-114.585,-100.088
1,1.47586,1.46964,1.55531,1.29171,1.62443,1.91463,1.68437,1.50256,1.25629,2.22393,2.1923,1.98864,1.17685,1.56838,2.15899,1.57641,1.68503,1.27362,1.46922,1.5901,6.70246e+08,-27.4233,-42.9822,-51.948,-56.7824,-60.2154,-62.0126,-64.292,-63.3639,-61.4201,-58.1677,-38.2506,-27.0473,-29.6046,-48.1181,-58.2129,-64.8576,-70.9258,-73.8026,-80.4013,-78.8293,-73.3776,-49.4686,-34.6941,-41.3126,-69.0621,-83.3145,-93.7153,-102.599,-108.361,-114.603,-116.342,-115.22,-113.66,-109.757,-99.2666,-86.3037,-67.1944,-44.9594,-35.5765,-64.1064,-78.2856,-89.0858,-96.1992,-100.621,-102.547,-102.859,-104.051,-101.955,-96.2293,-86.4244,-76.6645,-63.279,-47.4323,-39.3854,-55.8467,-65.4942,-72.1041,-79.2544,-83.688,-86.5105,-72.966,-70.7772,-56.2963,-50.7031,-42.9844,-26.2141,-25.3377,-34.7326,-41.6706,-45.0321,-47.1855,-49.021,-50.4653,-50.9589,-24.819,-46.07,-56.8104,-62.8684,-67.4998,-21.5765,-30.6511,-34.211,-37.7563,-39.5593,-41.3311,-42.5571,-43.1711,-67.0344,-67.0344,-62.8658,-62.8658,-66.7385,-66.7385,-62.9091,-62.9091,-92.666,-92.666,-83.4264,-83.4264,-71.4543,-71.4543,-68.502,-68.502,-52.136,-52.136,-94.2501,-92.7878,-83.7725,-48.0312,-66.2929,-67.0344,-71.4543,-103.953,-107.862,-72.1933,-112.002,-105.933,-54.4161,-81.4095,-91.8717,-105.17,-107.098,-114.09,-118.123,-75.0691,-75.3856,-76.4411,-38.2741,-67.0702,-71.607,-73.204,-66.1131,-62.6273,-71.6797,-62.3535,-17.0855,-61.9179,-30.1011,-34.0371,-37.6937,-47.2115,-50.3594,-51.5693,-53.6812,-51.9222,-55.4505,-45.128,-49.5546,-63.8926,-96.0175,-105.326,-83.5381,-83.6777,-77.861,-47.4442,-66.1904,-67.4034,-56.8163,-66.2801,-46.3562
2,0.861131,2.88148,3.00891,0.00180855,0.838776,2.0152,3.30881,2.04311,2.97707,0.939368,0.929704,0.871797,0.598072,1.92546,1.71471,3.08291,3.31545,3.2199,2.74816,3.25838,6.9468e+08,-50.3803,-90.4031,-119.266,-141.902,-157.518,-165.794,-175.528,-163.811,-154.672,-142.523,-86.5397,-58.0158,-45.3232,-84.012,-103.093,-113.648,-120.451,-123.796,-118.911,-115.229,-107.349,-76.4441,-49.9734,-29.015,-48.996,-57.0294,-61.4349,-64.3835,-64.4984,-61.2742,-59.5971,-56.7172,-53.1536,-48.988,-43.5073,-37.5361,-29.1686,-19.5642,-20.2605,-31.9083,-37.3275,-41.1171,-43.3746,-44.5736,-45.073,-45.1183,-45.2988,-44.7376,-43.1263,-39.9206,-36.7034,-32.0561,-26.1678,-22.8986,-32.1867,-37.5077,-40.5332,-42.8711,-44.1433,-44.9081,-181.57,-173.612,-127.528,-110.068,-88.987,-44.7195,-62.0337,-96.3641,-121.198,-134.617,-145.233,-152.915,-158.051,-159.321,-40.4756,-89.0317,-119.665,-140.47,-158.299,-47.0852,-81.0401,-93.5991,-111.801,-123.151,-133.781,-140.132,-142.15,-153.557,-153.557,-163.742,-163.742,-166.292,-166.292,-153.112,-153.112,-80.2586,-80.2586,-105.36,-105.36,-164.565,-164.565,-167.518,-167.518,-157.184,-157.184,-43.7203,-43.1815,-40.1529,-25.9722,-95.0332,-153.557,-164.565,-75.0709,-68.5699,-34.02,-57.6327,-67.1975,-28.7882,-38.3704,-41.7587,-45.5276,-45.8547,-47.597,-48.65,-135.558,-138.352,-130.005,-45.3782,-91.8008,-185.572,-191.24,-163.232,-151.582,-43.7789,-36.5924,-32.4521,-31.419,-89.93,-80.8224,-95.9175,-130.083,-143.429,-153.365,-161.433,-161.061,-168.034,-146.118,-155.829,-42.891,-63.8621,-74.2017,-40.382,-40.365,-45.4347,-32.6901,-42.9358,-38.5164,-32.0404,-33.6867,-23.5928
3,1.98406,4.15894,4.10068,0.00763003,1.38956,1.97545,4.23226,2.39258,4.00611,1.72949,1.73527,1.64674,1.24319,1.62841,1.79917,4.20215,4.24086,4.6066,3.61149,4.36217,1.06161e+09,-89.8786,-130.906,-161.445,-186.674,-203.074,-211.467,-220.705,-208.446,-197.57,-183.73,-122.772,-91.4201,-52.6299,-67.2671,-78.3583,-90.5926,-102.216,-111.906,-122.259,-121.279,-116.328,-98.8086,-84.7667,-43.0044,-52.5694,-58.5671,-63.4185,-68.1597,-70.7669,-71.5991,-72.3438,-71.6158,-69.7528,-66.8641,-62.4073,-57.0083,-48.8357,-39.2896,-40.2815,-49.7593,-56.0826,-62.0862,-66.5447,-69.0383,-70.838,-71.1921,-70.307,-68.5783,-66.1875,-61.8166,-58.8911,-54.5589,-48.4458,-43.0999,-50.8319,-56.6922,-61.1348,-66.4198,-70.049,-72.5506,-205.903,-199.899,-154.072,-133.846,-113.831,-79.5059,-97.3016,-131.174,-158.324,-172.968,-183.531,-191.676,-196.404,-197.265,-72.4655,-111.421,-141.877,-165.68,-186.246,-83.3383,-108.868,-120.088,-138.91,-149.625,-160.088,-166.337,-168.462,-186.253,-186.253,-209.596,-209.596,-200.848,-200.848,-189.872,-189.872,-75.5368,-75.5368,-87.8036,-87.8036,-189.038,-189.038,-200.984,-200.984,-201.191,-201.191,-72.7845,-73.0142,-68.845,-49.9865,-68.876,-186.253,-189.038,-76.4134,-73.6118,-57.2456,-72.338,-71.4984,-51.206,-60.6851,-64.2045,-70.5312,-67.207,-67.3259,-68.5772,-153.149,-155.061,-142.847,-57.9131,-100.229,-214.997,-219.103,-196.408,-185.437,-59.6171,-54.6837,-47.6278,-41.7511,-100.226,-136.318,-146.913,-174.513,-184.797,-191.279,-199.868,-198.629,-207.907,-176.557,-190.371,-58.7607,-75.007,-81.4515,-73.6863,-72.2971,-64.1132,-47.5818,-55.5278,-57.9429,-51.398,-56.7286,-48.2065
4,1.40884,1.47287,1.601,1.30532,1.38019,1.77176,1.52404,1.50186,1.63143,1.76893,1.94277,2.05298,1.66001,1.47846,1.74482,1.69582,1.52445,1.67076,1.82765,1.71639,7.32701e+08,-37.1447,-45.6859,-52.5243,-58.2904,-61.9489,-63.8517,-66.05,-58.6084,-56.2891,-52.9655,-37.4429,-30.8207,-34.5343,-46.9237,-55.9602,-62.1341,-67.8196,-70.7166,-77.6497,-77.7067,-76.0177,-64.7694,-56.3044,-34.8457,-44.0025,-50.4332,-56.1669,-62.5096,-66.4764,-68.3722,-70.4246,-70.4308,-68.9045,-66.1388,-61.5641,-55.7786,-46.9801,-36.5316,-38.2726,-45.1012,-49.7351,-54.64,-59.2436,-62.9091,-67.3591,-70.5676,-71.2723,-71.4111,-70.8181,-66.8154,-64.7927,-60.995,-51.4479,-39.2637,-44.345,-49.2931,-54.2666,-61.258,-67.8817,-74.391,-76.3126,-74.709,-56.8043,-53.698,-47.3679,-35.9222,-41.8602,-51.5296,-59.0415,-63.0351,-65.7973,-66.992,-67.2064,-67.0893,-33.7587,-42.1597,-48.4164,-53.0998,-57.2964,-37.8484,-47.0241,-52.1357,-58.5883,-61.52,-63.372,-63.7147,-63.331,-67.9826,-67.9826,-58.5451,-58.5451,-64.7306,-64.7306,-59.2382,-59.2382,-70.0083,-70.0083,-73.4604,-73.4604,-61.2553,-61.2553,-62.4035,-62.4035,-66.8588,-66.8588,-71.3496,-79.0126,-83.8914,-66.681,-59.0791,-67.9826,-61.2553,-72.6638,-70.3259,-55.5672,-71.1456,-67.3676,-56.5158,-66.8288,-69.2739,-70.3461,-67.8482,-65.8017,-65.0268,-77.8757,-76.2013,-77.4109,-48.1503,-71.3161,-71.1694,-71.9485,-64.5963,-59.8767,-58.0402,-47.296,-29.0546,-38.3962,-50.55,-40.9597,-45.2634,-54.0244,-58.0669,-62.0983,-64.6711,-66.5899,-66.9749,-65.1306,-65.737,-54.5925,-69.9332,-75.5355,-91.8678,-89.1597,-64.5718,-49.4258,-56.3642,-50.5989,-45.192,-82.0916,-64.8416
5,2.91862,3.14432,3.29983,1.83149,1.25942,2.93803,3.19131,2.69111,2.84241,2.13969,2.08176,1.87075,1.14057,2.7694,2.94163,3.36006,3.19451,3.13085,3.06964,3.39477,8.26961e+08,-48.0882,-86.4353,-111.702,-130.862,-142.878,-148.74,-154.86,-151.415,-145.724,-136.813,-79.4323,-51.0785,-46.5441,-88.9522,-111.993,-126.056,-137.397,-142.138,-139.92,-135.533,-128.139,-101.238,-70.236,-58.9836,-98.654,-113.193,-120.035,-122.558,-121.024,-115.365,-109.542,-104.514,-99.8567,-93.4689,-83.7114,-73.1099,-57.7339,-39.2677,-34.7943,-69.6545,-83.9442,-92.6461,-97.0443,-98.8205,-98.0138,-95.8925,-93.1007,-88.1475,-82.3321,-73.2029,-67.4492,-59.9903,-50.2831,-33.5182,-50.7391,-60.4351,-67.0654,-74.7905,-79.3421,-81.4135,-156.679,-154.652,-127.177,-112.598,-92.2659,-46.3774,-50.3972,-79.8581,-101.664,-112.948,-120.697,-126.687,-129.784,-130.255,-33.9833,-75.8203,-101.729,-119.748,-134.821,-38.0628,-67.6071,-78.7378,-90.7196,-97.3468,-103.566,-107.039,-107.925,-150.367,-150.367,-150.588,-150.588,-152.531,-152.531,-145.737,-145.737,-127.388,-127.388,-140.498,-140.498,-142.425,-142.425,-147.211,-147.211,-136.605,-136.605,-94.3292,-91.6606,-82.0751,-49.241,-123.095,-150.367,-142.425,-125.6,-121.924,-65.2686,-103.231,-122.865,-54.5575,-70.8313,-78.0497,-94.8139,-87.3175,-90.7052,-97.7145,-145.087,-147.955,-143.553,-64.9488,-117.05,-158.273,-159.643,-150.94,-144.326,-62.4234,-57.0242,-43.0528,-76.1471,-72.0921,-78.707,-88.3508,-111.495,-119.717,-124.79,-131.86,-131.05,-138.731,-114.256,-124.257,-67.8528,-98.246,-112.19,-85.5525,-85.2945,-69.0153,-38.166,-54.4416,-62.2978,-51.8862,-39.9855,-33.2888
6,3.32491,3.55584,4.06665,2.6403,2.14304,5.02039,4.86995,3.58601,3.43226,3.64043,3.60272,3.47177,2.97839,4.7382,5.12881,4.44615,4.87411,3.58248,4.65551,4.46903,2.69652e+09,-114.996,-135.264,-150.885,-161.371,-169.124,-173.109,-177.565,-151.199,-150.431,-146.171,-114.793,-101.683,-148.619,-176.446,-194.852,-206.524,-214.579,-217.874,-217.404,-213.714,-205.993,-187.528,-180.186,-148.282,-170.06,-183.963,-195.112,-205.571,-209.935,-208.686,-206.334,-200.276,-192.953,-182.612,-168.086,-153.074,-133.158,-114.245,-117.406,-130.301,-139.379,-146.362,-150.29,-152.181,-152.172,-151.776,-152.604,-151.761,-148.416,-142.35,-135.775,-126.636,-116.395,-99.5078,-105.9,-110.833,-115.005,-120.766,-123.993,-125.43,-207.393,-199.627,-161.528,-157.203,-147.487,-132.662,-101.973,-112.993,-121.946,-126.223,-128.561,-132.015,-134.426,-135.036,-113.049,-136.815,-156.087,-169.312,-181.341,-95.991,-98.1172,-97.7012,-102.914,-106.53,-110.924,-113.977,-115.36,-183.717,-183.717,-147.022,-147.022,-173.702,-173.702,-160.894,-160.894,-211.787,-211.787,-218.169,-218.169,-205.002,-205.002,-185.871,-185.871,-143.537,-143.537,-145.352,-143.521,-137.305,-114.056,-197.491,-183.717,-205.002,-217.181,-214.49,-155.34,-199.139,-212.012,-120.759,-138.913,-145.79,-153.264,-156.347,-163.235,-166.451,-218.15,-220.343,-218.348,-156.206,-193.874,-192.147,-198.178,-174.342,-164.443,-109.416,-107.899,-62.3716,-128.623,-83.6127,-105.637,-108.88,-120.155,-125.605,-129.83,-135.837,-135.822,-143.045,-120.26,-129.941,-152.009,-187.001,-207.464,-130.664,-133.505,-114.014,-102.079,-106.043,-111.847,-107.93,-105.435,-95.5428
7,2.08098,2.83387,3.10629,1.66232,1.85398,2.15346,2.55241,2.38826,2.13934,1.83956,1.82307,1.75515,1.5603,1.95298,2.30409,3.14237,2.5537,2.20705,2.91331,3.24368,1.51403e+09,-68.0415,-74.917,-82.9837,-90.9828,-98.7152,-103.584,-110.295,-130.58,-128.982,-123.992,-85.8544,-71.1298,-72.5623,-76.3041,-79.1707,-82.1143,-85.8245,-88.5663,-98.0494,-99.9318,-101.327,-97.9169,-94.1484,-71.1122,-81.3621,-88.9832,-96.3864,-104.928,-110.506,-114.3,-116.637,-116.237,-113.859,-108.79,-101.157,-92.8591,-81.5955,-69.5114,-63.8302,-68.0104,-70.857,-73.3893,-75.1828,-76.3915,-76.8416,-76.8827,-77.4582,-76.9818,-75.1771,-72.3889,-69.4866,-65.8092,-62.2109,-64.2899,-66.8854,-68.8293,-70.2798,-71.7873,-72.7143,-73.3044,-141.265,-141.505,-125.731,-116.925,-106.214,-87.129,-65.633,-69.786,-74.3987,-77.7594,-81.1658,-85.4673,-90.0295,-91.7153,-65.851,-75.9839,-85.7829,-94.5087,-103.833,-63.9578,-65.8868,-66.7172,-69.1237,-71.0722,-73.7274,-76.3709,-78.1677,-134.674,-134.674,-127.429,-127.429,-139.615,-139.615,-133.535,-133.535,-97.1342,-97.1342,-90.649,-90.649,-108.54,-108.54,-111.681,-111.681,-91.5021,-91.5021,-74.1653,-73.3697,-70.2399,-61.3653,-80.8974,-134.674,-108.54,-108.543,-112.183,-94.8705,-115.851,-109.792,-63.6767,-70.768,-73.9119,-77.8363,-79.81,-84.2053,-86.021,-102.362,-99.4548,-99.5047,-82.1501,-99.7979,-143.11,-140.224,-139.637,-134.896,-70.0418,-68.0829,-53.1242,-64.6115,-63.0898,-83.1419,-85.9823,-95.7633,-99.0658,-98.4906,-101.332,-95.0588,-103.574,-80.0616,-90.0465,-90.4634,-107.091,-110.372,-69.6566,-69.876,-71.7565,-63.8903,-68.0183,-69.2446,-67.2542,-66.9746,-62.8717
8,1.43967,1.64948,1.64251,1.28893,1.82885,2.34157,1.64621,1.54777,1.37187,3.88597,3.79996,3.35857,1.62644,2.07253,2.59121,1.55552,1.64667,1.41102,1.2834,1.59143,7.38275e+08,-25.3377,-40.1278,-50.4292,-57.6174,-62.4396,-64.9008,-67.7451,-71.9802,-70.3258,-67.4355,-48.7995,-35.2484,-33.727,-59.5966,-73.2343,-80.0351,-85.3255,-86.3047,-82.8756,-75.9132,-64.0963,-37.4616,-26.2938,-48.6758,-82.201,-98.5701,-109.546,-117.585,-121.584,-125.155,-122.906,-117.981,-114.098,-107.983,-94.6465,-80.1108,-60.2999,-38.8416,-62.5265,-120.199,-142.461,-156.909,-164.911,-168.11,-168.285,-164.822,-157.352,-145.834,-132.877,-113.027,-101.345,-84.7735,-61.5122,-63.5064,-94.1386,-107.875,-115.433,-123.513,-126.743,-127.002,-71.4113,-68.8152,-55.3805,-47.5357,-39.9118,-23.9018,-27.4757,-39.4637,-47.3262,-50.582,-51.8316,-52.4026,-52.3327,-52.1923,-23.0206,-41.9466,-52.4555,-58.9722,-64.3775,-22.499,-35.9145,-40.7595,-44.5071,-45.5585,-45.8778,-45.3534,-44.7259,-65.1792,-65.1792,-70.8894,-70.8894,-69.9502,-69.9502,-68.0943,-68.0943,-108.785,-108.785,-102.312,-102.312,-68.55,-68.55,-68.1306,-68.1306,-56.7559,-56.7559,-164.12,-160.356,-141.339,-66.7344,-86.8499,-65.1792,-68.55,-116.451,-119.804,-64.6624,-112.717,-119.479,-72.1531,-108.557,-123.489,-160.081,-138.34,-138.864,-148.343,-72.5586,-75.7241,-75.8736,-26.8896,-53.384,-73.6571,-75.0841,-68.5314,-66.3114,-100.517,-102.474,-21.3524,-109.593,-36.1115,-31.6417,-34.4041,-41.6266,-44.6804,-47.0514,-50.9271,-51.7927,-55.4841,-47.3668,-49.1556,-51.8245,-87.6037,-105.843,-136.3,-143.921,-109.791,-56.0798,-85.0669,-109.994,-96.4603,-70.6911,-48.5804
9,7.14069,7.3552,7.56427,5.37959,7.09905,7.31793,7.36427,6.81716,6.73639,7.71029,7.67913,7.576,7.28788,7.2608,7.35953,7.64424,7.36547,6.8656,7.53554,7.67957,1.11013e+10,-262.83,-271.781,-280.381,-286.778,-292.785,-296.368,-300,-300,-300,-300,-284.108,-272.847,-286.936,-289.772,-291.805,-293.415,-294.969,-295.899,-297.302,-297.145,-296.6,-295.465,-294.795,-292.045,-294.693,-296.352,-297.525,-298.264,-298.532,-298.844,-298.444,-297.831,-297.447,-296.652,-294.628,-292.398,-289.713,-287.66,-299.432,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-297.76,-295.156,-291.776,-287.563,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-299.755,-293.017,-245.738,-251.942,-258.902,-263.783,-268.379,-273.604,-278.581,-280.333,-269.423,-278.555,-286.132,-291.498,-296.648,-242.788,-243.921,-244.646,-249.443,-253.239,-257.977,-262.189,-264.769,-300,-300,-299.98,-299.98,-300,-300,-300,-300,-296.116,-296.116,-295.742,-295.742,-300,-300,-299.806,-299.806,-280.458,-280.458,-300,-300,-300,-292.588,-293.128,-300,-300,-297.195,-297.963,-292.51,-297.008,-298.176,-289.452,-296.753,-300,-300,-300,-300,-300,-298.976,-298.804,-298.402,-289.924,-294.841,-300,-300,-300,-300,-300,-300,-230.633,-297.706,-240.903,-273.694,-275.639,-284.633,-287.713,-287.183,-289.92,-283.755,-292.086,-267.056,-278.578,-291.162,-293.966,-295.484,-300,-300,-300,-300,-300,-300,-300,-300,-300
10,2.65739,2.98077,3.12021,1.81846,1.41683,2.05555,2.82266,2.55945,2.76605,1.45014,1.49085,1.47606,1.07842,1.63912,1.90864,3.12308,2.82431,2.88617,2.83292,3.17648,9.05706e+08,-51.8042,-73.1286,-90.0125,-103.746,-113.45,-118.728,-125.136,-128.108,-126.76,-122.684,-78.8326,-54.9917,-40.4404,-57.7917,-69.2085,-79.2631,-88.6828,-95.2449,-106.078,-104.743,-98.7951,-75.2021,-58.6198,-33.7381,-47.0207,-54.0836,-59.2687,-64.2034,-66.7873,-66.8034,-67.9793,-67.5666,-65.3568,-62.1936,-58.1345,-52.9493,-44.6995,-33.8513,-31.2913,-39.0934,-43.7624,-47.8948,-51.0127,-52.9995,-54.7308,-55.6347,-55.9665,-56.0162,-55.3542,-52.9668,-50.619,-46.5835,-40.4399,-30.9126,-37.3668,-42.2433,-46.2871,-51.246,-55.0753,-58.2517,-135.523,-133.831,-115.693,-103.137,-87.7909,-55.7008,-60.1694,-78.7914,-93.9472,-102.825,-110.245,-115.563,-119.291,-120.249,-46.3287,-71.2513,-87.8189,-99.4227,-109.756,-53.4565,-73.3335,-83.5304,-93.8212,-99.8272,-105.18,-108.585,-109.89,-129.421,-129.421,-125.976,-125.976,-133.355,-133.355,-128.967,-128.967,-74.9813,-74.9813,-85.2349,-85.2349,-116.444,-116.444,-119.531,-119.531,-117.582,-117.582,-55.8793,-57.6448,-57.0758,-40.2977,-64.9089,-129.421,-116.444,-75.5643,-71.1204,-51.7714,-69.5052,-68.3373,-43.2386,-52.029,-54.4209,-55.7763,-55.8991,-56.2759,-56.1324,-116.714,-116.059,-113.293,-45.7153,-85.5134,-137.655,-138.386,-132.567,-128.934,-46.9326,-40.4346,-53.782,-34.3557,-86.6252,-83.9898,-91.0883,-108.75,-114.831,-118.896,-122.617,-121.665,-125.518,-112.094,-118.634,-54.2357,-74.7382,-82.2326,-61.2494,-59.8274,-51.6974,-31.5853,-42.4699,-43.3564,-38.079,-43.4535,-37.5297
11,1.28604,1.44286,1.4003,1.27125,1.26552,1.31131,1.445,1.46216,1.59754,1.72498,1.71868,1.65336,1.35011,1.24227,1.31589,1.37621,1.44534,1.68291,1.31225,1.39611,1.1136e+09,-45.1774,-50.6784,-56.5962,-62.7486,-67.372,-69.8358,-72.4511,-60.0561,-57.4141,-54.8276,-47.1293,-43.8558,-41.2537,-46.1055,-49.7844,-52.3194,-54.4674,-55.573,-55.6984,-54.6702,-52.8475,-49.6371,-48.4172,-47.2318,-51.1336,-53.4897,-55.1589,-56.3336,-56.8554,-57.4546,-56.9135,-56.0965,-55.7112,-55.0147,-52.85,-50.3166,-46.9105,-43.8737,-56.5015,-62.0243,-65.015,-67.5553,-69.2216,-69.8701,-70.372,-70.1706,-69.0084,-67.4556,-65.6343,-62.0604,-59.8251,-56.4057,-51.2121,-57.0673,-62.1943,-66.2164,-69.4043,-73.34,-76.1625,-78.301,-64.914,-61.9479,-51.2094,-48.9057,-46.8839,-44.1661,-48.3985,-54.5252,-60.5007,-64.4458,-67.8784,-70.596,-72.2228,-72.5199,-41.5954,-47.5022,-53.0727,-58.0709,-62.7295,-45.8361,-49.7218,-51.8853,-56.4342,-59.222,-62.0291,-63.9036,-64.7361,-57.6278,-57.6278,-61.4926,-61.4926,-59.3935,-59.3935,-56.7064,-56.7064,-54.4944,-54.4944,-54.8174,-54.8174,-61.4015,-61.4015,-67.1141,-67.1141,-72.1902,-72.1902,-73.7421,-73.4111,-70.2359,-55.637,-51.2336,-57.6278,-61.4015,-55.4211,-56.2119,-49.4175,-54.9546,-56.3944,-53.6399,-61.3344,-64.0392,-69.1739,-65.4922,-64.6067,-65.4096,-58.1465,-58.5192,-57.4647,-44.2583,-49.9815,-65.6141,-68.777,-58.2852,-55.6986,-67.4425,-64.631,-34.852,-55.4563,-47.807,-56.402,-58.7407,-64.354,-66.918,-69.5207,-71.6308,-72.6864,-73.7965,-66.7622,-70.9132,-47.027,-50.733,-52.9035,-76.8689,-74.7006,-71.1429,-58.6895,-63.9945,-67.0896,-62.8212,-62.2644,-57.014
12,1.33827,1.36886,1.41074,1.17256,1.83503,2.30374,1.80698,1.61077,1.71837,3.91802,3.72886,3.22282,1.72037,2.25153,2.3697,1.40413,1.80804,1.91611,1.28037,1.41684,9.377e+08,-36.3499,-53.0112,-65.0293,-73.6775,-78.5547,-80.4887,-81.7991,-61.1522,-58.1559,-53.972,-31.197,-22.2699,-57.0637,-92.3561,-107.07,-112.815,-113.966,-112.525,-95.4597,-88.0704,-76.4886,-51.3298,-41.249,-58.2071,-87.8704,-101.737,-110.344,-115.876,-118.194,-120.767,-117.942,-113.25,-109.906,-103.919,-90.8312,-76.9944,-59.4455,-41.4312,-76.8132,-134.403,-158.037,-172.684,-178.618,-178.457,-174.949,-169.29,-160.765,-148.717,-135.757,-116.066,-105.36,-90.0517,-67.3564,-82.0338,-117.856,-136.861,-149.344,-164.851,-173.436,-176.744,-71.7428,-67.9746,-49.924,-43.9113,-37.3354,-26.7021,-40.7101,-56.1656,-70.0565,-78.9195,-86.4397,-89.7199,-89.3312,-88.4707,-35.3968,-54.3557,-64.7869,-70.7454,-75.1651,-35.5229,-52.3736,-62.2458,-74.0996,-81.5927,-87.1975,-89.1506,-88.5036,-63.3214,-63.3214,-61.5099,-61.5099,-64.0227,-64.0227,-59.6456,-59.6456,-109.735,-109.735,-111.309,-111.309,-82.8888,-82.8888,-78.1281,-78.1281,-86.7325,-86.7325,-183.652,-174.534,-150.25,-78.1728,-104.976,-63.3214,-82.8888,-113.051,-115.816,-68.88,-108.022,-116.415,-77.917,-112.292,-126.418,-163.61,-139.919,-139.706,-151.283,-90.0366,-97.3019,-93.46,-37.7966,-64.9603,-71.0348,-74.8558,-62.7342,-58.6065,-125.923,-128.87,-48.9143,-113.04,-81.7738,-41.7811,-48.4951,-61.5058,-67.6765,-75.4138,-79.188,-85.9699,-82.9294,-89.5532,-86.6379,-59.3666,-86.0899,-99.9612,-167.469,-165.276,-141.385,-69.8318,-103.362,-140.211,-121.07,-83.164,-63.8235
