real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=0_member=0,1.66656,1.508,1.60492,1.49124,1.34604,1.32285,1.38298,1.39205,1.29253,1.42809,1.4364,1.39831,1.18303,1.23483,1.36311,1.69017,1.41519,1.35872,1.63923,1.69335,6.19564e+08,-28.6681,-32.6727,-36.7917,-40.6732,-43.9665,-45.9681,-48.6834,-55.5934,-55.3474,-53.9913,-40.8429,-33.3094,-29.6172,-35.0343,-38.8912,-42.065,-45.1775,-47.2141,-52.6904,-53.1383,-52.4201,-46.59,-42.3679,-30.7658,-35.1893,-38.0477,-40.3806,-42.6467,-44.072,-45.1635,-45.8506,-45.7635,-45.246,-44.1732,-41.7196,-38.4963,-33.5065,-27.9548,-31.8069,-36.5928,-39.5848,-42.3103,-44.3669,-45.651,-46.678,-47.1085,-47.1395,-46.7244,-45.7719,-43.7471,-42.08,-39.4993,-35.9331,-32.0016,-35.5211,-38.1314,-40.1497,-42.5736,-44.2403,-45.4108,-59.4509,-59.6962,-54.1017,-50.8015,-45.9301,-36.069,-30.8772,-34.0269,-37.2611,-39.5191,-41.6936,-43.5185,-45.0991,-45.5994,-27.6966,-32.9197,-37.2492,-40.6472,-44.0946,-29.8907,-32.969,-34.9593,-37.2491,-38.7698,-40.2908,-41.4375,-41.9962,-59.091,-43.8539,-53.8362,-32.2117,-57.7563,-38.3263,-56.6031,-28.8857,-44.7108,-31.9921,-45.2861,-27.9158,-47.326,-30.4626,-47.7239,-31.4927,-43.7378,-25.056,-46.693,-47.006,-45.2637,-35.708,-39.1136,-59.091,-47.326,-45.4117,-44.9315,-37.8075,-45.6179,-44.0382,-37.5304,-43.0368,-44.8942,-47.1553,-46.4798,-46.5576,-46.7745,-54.5228,-53.1774,-53.7407,-34.2901,-49.0257,-59.38,-58.6823,-58.2348,-56.9304,-39.1196,-37.0947,-27.2353,-32.4952,-35.7689,-37.61,-39.313,-43.9069,-45.627,-46.4085,-47.6791,-46.4676,-48.6352,-42.513,-45.1773,-37.1169,-44.9545,-47.4079,-45.7179,-45.6637,-41.3934,-32.5216,-36.8005,-38.687,-35.9791,-36.4011,-31.4511
gen=0_member=1,1.63516,1.50627,1.58324,1.22332,1.36005,1.40205,1.42697,1.41549,1.35017,1.42854,1.43684,1.39871,1.18334,1.24336,1.37214,1.67757,1.43421,1.37655,1.63709,1.68358,6.20513e+08,-28.8915,-32.9136,-37.0535,-40.9585,-44.2627,-46.2641,-48.9637,-55.3486,-54.9875,-53.608,-40.6613,-33.1682,-29.868,-35.3192,-39.2061,-42.3953,-45.5245,-47.5501,-52.9886,-53.4011,-52.636,-46.724,-42.4818,-30.918,-35.356,-38.2229,-40.5624,-42.837,-44.2617,-45.3326,-46.0145,-45.9166,-45.3804,-44.2857,-41.8165,-38.5819,-33.5828,-28.0276,-31.8322,-36.6185,-39.6114,-42.3369,-44.3932,-45.6775,-46.7034,-47.1335,-47.1662,-46.7515,-45.7975,-43.7709,-42.1005,-39.5159,-35.947,-32.0114,-35.5302,-38.1399,-40.158,-42.5821,-44.2487,-45.4187,-59.3471,-59.4753,-53.7373,-50.517,-45.6789,-35.8649,-31.0925,-34.272,-37.5487,-39.8473,-42.0633,-43.9255,-45.4762,-45.9535,-27.9089,-33.1547,-37.5114,-40.9357,-44.4195,-30.0916,-33.1688,-35.1543,-37.4585,-38.9912,-40.5281,-41.6817,-42.2377,-58.5348,-47.1991,-53.7082,-40.0446,-57.1463,-43.0013,-55.3555,-19.2171,-45.1119,-39.8536,-46.5926,-43.2656,-48.1583,-43.0128,-48.2458,-40.3811,-44.8342,-38.0311,-46.7108,-47.0228,-45.2787,-35.7184,-39.4872,-58.5348,-48.1583,-45.6866,-45.1521,-37.926,-45.7857,-44.2466,-37.5453,-43.0584,-44.919,-47.1827,-46.5134,-46.5999,-46.8202,-54.7108,-53.3853,-53.9636,-34.4322,-49.2184,-59.1794,-58.6216,-57.7016,-56.2931,-39.1248,-37.1026,-27.312,-32.5355,-35.9053,-37.6829,-39.4085,-44.0279,-45.7695,-46.597,-47.896,-46.7723,-48.8997,-42.7918,-45.4674,-37.2794,-45.1725,-47.6819,-45.7283,-45.6757,-41.3991,-32.5248,-36.8045,-38.6953,-35.9891,-36.4026,-31.4532
gen=0_member=2,1.66285,1.61232,1.57139,1.28707,1.26733,1.35598,1.43005,1.40788,1.31753,1.4278,1.43613,1.39806,1.18285,1.23354,1.35067,1.68821,1.43536,1.36833,1.63963,1.69119,6.20165e+08,-28.852,-32.8705,-37.009,-40.9113,-44.2234,-46.2351,-48.9598,-56.0722,-55.5353,-54.0749,-40.9473,-33.4016,-29.6369,-35.0587,-38.9276,-42.1179,-45.242,-47.2847,-52.7386,-53.1787,-52.4526,-46.6204,-42.3962,-30.6717,-35.0789,-37.9233,-40.2423,-42.491,-43.9119,-45.0231,-45.7166,-45.642,-45.1408,-44.0856,-41.6446,-38.4302,-33.4481,-27.9002,-31.7878,-36.5732,-39.5644,-42.2897,-44.3463,-45.63,-46.6574,-47.088,-47.1174,-46.7017,-45.75,-43.7259,-42.0609,-39.4827,-35.9179,-31.9936,-35.5137,-38.1244,-40.1428,-42.5664,-44.2332,-45.404,-59.5233,-59.7084,-53.9909,-50.7266,-45.8678,-36.0216,-31.0306,-34.198,-37.4564,-39.7366,-41.935,-43.7857,-45.3677,-45.8643,-27.8914,-33.1371,-37.4945,-40.9188,-44.403,-30.035,-33.1117,-35.0992,-37.3992,-38.9293,-40.464,-41.6219,-42.1856,-59.0087,-46.2319,-55.3572,-45.8884,-57.2626,-37.3222,-55.888,-16.6498,-43.8758,-26.2895,-45.6673,-34.0296,-48.2186,-39.5777,-48.1519,-35.5564,-44.2904,-31.1558,-46.6782,-46.9915,-45.25,-35.6961,-39.0589,-59.0087,-48.2186,-45.1409,-44.7351,-37.7236,-45.4882,-43.8576,-37.5148,-43.0172,-44.8726,-47.1329,-46.452,-46.5233,-46.7381,-54.6101,-53.2774,-53.8163,-34.277,-49.04,-59.4109,-58.8127,-57.9532,-56.6407,-39.1153,-37.0882,-27.2994,-32.4657,-35.8761,-37.8029,-39.5092,-44.1265,-45.8569,-46.6427,-47.9286,-46.7246,-48.9038,-42.7195,-45.4157,-37.0417,-44.8478,-47.2612,-45.708,-45.6525,-41.3887,-32.5192,-36.7973,-38.6801,-35.971,-36.3971,-31.4461
gen=0_member=3,1.66128,1.5765,1.67993,1.53113,1.30904,1.39038,1.44493,1.45097,1.32124,1.42823,1.43654,1.39844,1.18314,1.24017,1.36201,1.7,1.4459,1.37251,1.64878,1.70694,6.21605e+08,-29.0313,-33.0678,-37.236,-41.1645,-44.513,-46.5487,-49.303,-56.4564,-56.1234,-54.6903,-41.2512,-33.6402,-29.8354,-35.2808,-39.1699,-42.3732,-45.5114,-47.555,-53.0029,-53.4292,-52.6837,-46.8301,-42.6004,-30.8161,-35.2399,-38.0958,-40.4249,-42.6865,-44.1089,-45.1979,-45.8856,-45.7986,-45.278,-44.2007,-41.7441,-38.5185,-33.5271,-27.9752,-31.8131,-36.5991,-39.5913,-42.3168,-44.3732,-45.6573,-46.684,-47.1143,-47.1456,-46.7306,-45.7777,-43.7524,-42.0844,-39.5026,-35.9356,-32.004,-35.5234,-38.1336,-40.1518,-42.5757,-44.2424,-45.4127,-60.0465,-60.2649,-54.6566,-51.2623,-46.34,-36.4076,-31.1238,-34.3018,-37.5709,-39.8572,-42.0597,-43.919,-45.5088,-46.0078,-28.1108,-33.3924,-37.796,-41.271,-44.8349,-30.1212,-33.194,-35.1776,-37.4819,-39.0159,-40.5569,-41.7205,-42.2875,-59.5174,-48.5273,-55.1755,-44.8761,-59.1995,-50.8166,-57.5148,-38.5246,-44.4949,-33.1292,-46.3364,-40.5961,-48.6722,-44.1393,-49.0306,-43.1594,-44.4543,-34.48,-46.6971,-47.0096,-45.2668,-35.7095,-39.3457,-59.5174,-48.6722,-45.4417,-44.9682,-37.8419,-45.6586,-44.0758,-37.5332,-43.0415,-44.8998,-47.1617,-46.4876,-46.5676,-46.7854,-54.8749,-53.5411,-54.0746,-34.4143,-49.2433,-60.1242,-59.3902,-59.2133,-57.7505,-39.1214,-37.0968,-27.3306,-32.5056,-35.9329,-37.9046,-39.6154,-44.2502,-45.9904,-46.7823,-48.0822,-46.8725,-49.0767,-42.8293,-45.5482,-37.1912,-45.0479,-47.5145,-45.7198,-45.666,-41.3952,-32.5243,-36.8025,-38.6891,-35.9816,-36.3998,-31.4496
gen=0_member=4,1.69379,1.49465,1.67781,1.6122,1.29236,1.38258,1.37694,1.41296,1.31334,1.42801,1.43632,1.39823,1.18297,1.23745,1.3576,1.70659,1.416,1.36677,1.64683,1.70871,6.20474e+08,-28.8115,-32.8294,-36.9673,-40.8707,-44.1857,-46.2009,-48.9327,-55.9247,-55.786,-54.4375,-41.0745,-33.4926,-29.721,-35.1575,-39.0368,-42.2295,-45.361,-47.3998,-52.8681,-53.3025,-52.5688,-46.7311,-42.5075,-30.7584,-35.176,-38.0277,-40.3532,-42.6102,-44.0322,-45.1301,-45.8202,-45.7383,-45.2253,-44.1568,-41.7066,-38.4856,-33.4983,-27.9485,-31.8041,-36.5898,-39.5816,-42.307,-44.3636,-45.6476,-46.6746,-47.1052,-47.1358,-46.7206,-45.7684,-43.7438,-42.0771,-39.497,-35.9311,-32.0011,-35.5208,-38.1312,-40.1495,-42.5733,-44.24,-45.4106,-59.8743,-60.1964,-54.6139,-51.2229,-46.298,-36.3682,-30.996,-34.1607,-37.4151,-39.6911,-41.8842,-43.7288,-45.3079,-45.8037,-27.8337,-33.0735,-37.4241,-40.8472,-44.3312,-30.0017,-33.0789,-35.0667,-37.3645,-38.8923,-40.4234,-41.5776,-42.1388,-59.808,-66.4972,-53.8857,-53.7856,-59.0952,-64.7788,-57.599,-59.5896,-44.2528,-46.2125,-46.1427,-52.4815,-47.3583,-49.8524,-48.1846,-53.1945,-44.1887,-46.3231,-46.6909,-47.0039,-45.2618,-35.7066,-39.2277,-59.808,-47.3583,-45.3251,-44.8777,-37.7972,-45.593,-43.9908,-37.5283,-43.0338,-44.8907,-47.1516,-46.4749,-46.5514,-46.7679,-54.7,-53.3494,-53.9136,-34.3558,-49.1485,-59.9218,-59.1063,-59.1442,-57.6984,-39.1204,-37.0946,-27.2807,-32.4905,-35.8485,-37.7226,-39.4326,-44.0454,-45.7767,-46.5709,-47.8574,-46.6621,-48.8361,-42.6709,-45.3569,-37.1333,-44.9704,-47.417,-45.7168,-45.6624,-41.3939,-32.524,-36.802,-38.6868,-35.9786,-36.4019,-31.4515
gen=0_member=5,1.5915,1.602,1.64497,1.11007,1.30092,1.30267,1.34938,1.4451,1.35057,1.42775,1.43608,1.39802,1.18281,1.22983,1.35256,1.66651,1.40365,1.37806,1.63333,1.67978,6.19774e+08,-28.9203,-32.9476,-37.0956,-41.0166,-44.3385,-46.3534,-49.0717,-55.9651,-55.4059,-53.9329,-40.8721,-33.3422,-29.4838,-34.8849,-38.7299,-41.899,-45.0044,-47.0433,-52.5193,-52.9763,-52.2714,-46.4586,-42.2401,-30.6426,-35.0511,-37.8986,-40.2216,-42.4751,-43.8986,-45.01,-45.7028,-45.6273,-45.1271,-44.0739,-41.6342,-38.421,-33.44,-27.8924,-31.7844,-36.5699,-39.561,-42.2864,-44.3431,-45.6269,-46.6545,-47.0852,-47.1145,-46.6988,-45.7474,-43.7237,-42.0591,-39.4813,-35.917,-31.9923,-35.5125,-38.1233,-40.1418,-42.5653,-44.2321,-45.4029,-59.2198,-59.3248,-53.7896,-50.5323,-45.7004,-35.8841,-31.1347,-34.3178,-37.5999,-39.9038,-42.1272,-43.9996,-45.5646,-46.048,-27.8849,-33.1241,-37.4756,-40.9112,-44.4126,-30.1323,-33.2103,-35.1966,-37.505,-39.0419,-40.5855,-41.7472,-42.3095,-58.054,-35.4835,-55.1879,-41.1148,-57.9778,-40.638,-55.3247,2.81427,-44.1052,-26.2364,-44.8482,-24.4626,-46.8217,-26.4485,-48.6581,-35.83,-44.8985,-31.8996,-46.6761,-46.9895,-45.2484,-35.6953,-38.8953,-58.054,-46.8217,-45.142,-44.725,-37.7072,-45.4702,-43.8455,-37.5137,-43.0152,-44.8702,-47.1298,-46.4485,-46.5189,-46.7332,-54.3742,-53.0326,-53.589,-34.1923,-48.8904,-59.2889,-58.6819,-58.0442,-56.4757,-39.1146,-37.0872,-27.3378,-32.4601,-35.945,-37.8343,-39.5524,-44.1823,-45.9237,-46.7342,-48.0344,-46.8801,-49.034,-42.8634,-45.5644,-36.9963,-44.7903,-47.1967,-45.7067,-45.6511,-41.3879,-32.5188,-36.7968,-38.679,-35.9697,-36.3962,-31.4452
gen=0_member=6,1.58149,1.58563,1.68012,1.39787,1.34774,1.39984,1.42305,1.38333,1.31731,1.42844,1.43674,1.39862,1.18328,1.24238,1.36959,1.67003,1.43219,1.36778,1.63905,1.68644,6.20839e+08,-28.8009,-32.8148,-36.9448,-40.8412,-44.1443,-46.1517,-48.8769,-56.1803,-55.7745,-54.3334,-41.0592,-33.4884,-29.8467,-35.2957,-39.1818,-42.3721,-45.5022,-47.5303,-52.9745,-53.3908,-52.6312,-46.7337,-42.4956,-30.8925,-35.3268,-38.191,-40.528,-42.7994,-44.2235,-45.299,-45.9823,-45.8871,-45.3548,-44.2646,-41.7986,-38.5663,-33.569,-28.0142,-31.8285,-36.6146,-39.6073,-42.3327,-44.389,-45.6732,-46.6994,-47.1296,-47.162,-46.7472,-45.7936,-43.7676,-42.0979,-39.5142,-35.946,-32.0107,-35.5296,-38.1393,-40.1574,-42.5814,-44.248,-45.4181,-59.487,-59.5913,-54.1751,-50.8424,-45.9785,-36.1144,-31.01,-34.1757,-37.433,-39.7135,-41.9134,-43.7648,-45.348,-45.8451,-27.8258,-33.0602,-37.4016,-40.8057,-44.2561,-30.0159,-33.0946,-35.0837,-37.3839,-38.914,-40.4487,-41.6068,-42.1709,-58.2098,-41.6387,-55.1002,-46.2521,-58.7741,-51.3554,-56.6901,-29.5795,-44.9621,-37.9348,-46.5343,-42.0876,-48.0773,-41.5922,-47.7326,-36.4488,-44.2665,-34.2405,-46.7082,-47.0203,-45.2766,-35.7174,-39.4472,-58.2098,-48.0773,-45.6257,-45.1062,-37.9044,-45.7537,-44.204,-37.544,-43.0555,-44.9153,-47.1783,-46.5079,-46.5928,-46.8124,-54.7171,-53.3866,-53.9623,-34.4228,-49.2125,-59.5966,-58.9,-58.6569,-57.1766,-39.1251,-37.1022,-27.293,-32.5289,-35.8662,-37.7976,-39.5023,-44.118,-45.8471,-46.6303,-47.9142,-46.7068,-48.8859,-42.7031,-45.399,-37.2553,-45.1396,-47.6387,-45.7268,-45.674,-41.3992,-32.5268,-36.8055,-38.6948,-35.9883,-36.4018,-31.4522
gen=0_member=7,1.64198,1.60671,1.62194,1.49723,1.3135,1.37115,1.37536,1.42574,1.33069,1.42813,1.43644,1.39835,1.18307,1.23749,1.36068,1.68702,1.41525,1.37304,1.64127,1.69468,6.2068e+08,-28.8937,-32.9186,-37.065,-40.9811,-44.3049,-46.3243,-49.0583,-56.3423,-55.9055,-54.4553,-41.1347,-33.549,-29.7093,-35.1424,-39.0164,-42.2028,-45.328,-47.3629,-52.8256,-53.259,-52.523,-46.6706,-42.4433,-30.778,-35.1995,-38.0547,-40.3836,-42.6449,-44.068,-45.1611,-45.8494,-45.7642,-45.2473,-44.1744,-41.7208,-38.4972,-33.5072,-27.9559,-31.8072,-36.5931,-39.5851,-42.3106,-44.3671,-45.6512,-46.6781,-47.1085,-47.1394,-46.7242,-45.7716,-43.7467,-42.0794,-39.4986,-35.9322,-32.0016,-35.5212,-38.1315,-40.1498,-42.5737,-44.2404,-45.4109,-59.5992,-59.8006,-54.2883,-50.9489,-46.0693,-36.1873,-31.0854,-34.2613,-37.532,-39.824,-42.0354,-43.8991,-45.4808,-45.9748,-27.8939,-33.1376,-37.4933,-40.9251,-44.4198,-30.086,-33.1639,-35.1513,-37.4567,-38.9915,-40.5327,-41.6955,-42.2612,-58.9501,-47.1467,-55.4451,-48.6962,-58.1831,-45.5574,-56.9887,-36.9004,-44.4663,-33.9388,-45.9966,-38.3427,-47.3274,-36.1607,-48.4164,-40.4433,-44.5536,-35.5255,-46.693,-47.0058,-45.2634,-35.7072,-39.2291,-58.9501,-47.3274,-45.388,-44.9222,-37.813,-45.6205,-44.0316,-37.5296,-43.0363,-44.8938,-47.1553,-46.4796,-46.5576,-46.7747,-54.63,-53.2873,-53.8552,-34.3424,-49.1125,-59.6542,-58.9682,-58.5425,-57.2488,-39.1199,-37.0948,-27.3189,-32.4961,-35.9153,-37.8701,-39.5788,-44.2062,-45.9419,-46.7325,-48.026,-46.8296,-49.0115,-42.8034,-45.5127,-37.1446,-44.9884,-47.4443,-45.7176,-45.6634,-41.3937,-32.5226,-36.8011,-38.6871,-35.9792,-36.4006,-31.4505
gen=0_member=8,1.53577,1.48275,1.65835,1.29124,1.25167,1.3089,1.43126,1.38095,1.30087,1.42754,1.43587,1.39783,1.18267,1.22768,1.3436,1.64855,1.43205,1.36024,1.62983,1.66928,6.18438e+08,-28.6611,-32.6638,-36.7784,-40.6531,-43.935,-45.9267,-48.6249,-55.2346,-54.9672,-53.6097,-40.6272,-33.1361,-29.4508,-34.849,-38.6959,-41.8718,-44.9795,-47.0223,-52.4803,-52.9351,-52.2286,-46.4139,-42.1935,-30.5573,-34.9539,-37.7918,-40.1054,-42.3472,-43.7683,-44.8952,-45.5928,-45.5267,-45.0397,-44.001,-41.5718,-38.3659,-33.391,-27.8463,-31.767,-36.5526,-39.5431,-42.2686,-44.3255,-45.6091,-46.6374,-47.0682,-47.0963,-46.6804,-45.7298,-43.7069,-42.0442,-39.4688,-35.9058,-31.9848,-35.5056,-38.1169,-40.1356,-42.5591,-44.226,-45.3971,-59.0039,-59.0129,-53.6166,-50.3681,-45.5564,-35.7625,-30.8776,-34.0288,-37.2659,-39.5272,-41.7044,-43.5296,-45.0982,-45.592,-27.7009,-32.9252,-37.255,-40.6465,-44.0832,-29.8905,-32.9692,-34.9591,-37.2489,-38.7691,-40.2889,-41.4326,-41.9877,-57.2586,-42.5993,-53.331,-40.6525,-57.9912,-52.2185,-55.6809,-26.8295,-43.5305,-31.1572,-44.8457,-34.9076,-48.0634,-45.3657,-47.5458,-39.2453,-43.8572,-35.8143,-46.6638,-46.9778,-45.2377,-35.6867,-38.7951,-57.2586,-48.0634,-44.93,-44.5674,-37.6352,-45.3621,-43.6995,-37.5021,-42.9997,-44.8529,-47.1113,-46.4258,-46.4907,-46.703,-54.3606,-53.0343,-53.5708,-34.1493,-48.8441,-59.0278,-58.4235,-57.9213,-56.4228,-39.1106,-37.0811,-27.2319,-32.4339,-35.7648,-37.5434,-39.2522,-43.8428,-45.5646,-46.3588,-47.6307,-46.4463,-48.5922,-42.509,-45.1608,-36.9201,-44.6856,-47.0583,-45.6991,-45.6424,-41.3836,-32.5163,-36.7936,-38.6728,-35.9622,-36.3944,-31.4428
gen=0_member=9,1.6198,1.48143,1.61927,1.55784,1.27136,1.32526,1.38938,1.3889,1.30111,1.4276,1.43593,1.39787,1.18269,1.23022,1.34861,1.67602,1.41687,1.3607,1.636,1.68566,6.19139e+08,-28.6762,-32.6802,-36.7972,-40.6777,-43.9664,-45.9638,-48.6716,-55.4639,-55.2847,-53.9499,-40.8028,-33.2757,-29.5176,-34.9246,-38.7779,-41.955,-45.0677,-47.1083,-52.5783,-53.0304,-52.3201,-46.5066,-42.2882,-30.6259,-35.0293,-37.8721,-40.1903,-42.4379,-43.8596,-44.9764,-45.6711,-45.5993,-45.1034,-44.0547,-41.6184,-38.4076,-33.4286,-27.8821,-31.7826,-36.5677,-39.5584,-42.2836,-44.3403,-45.624,-46.6517,-47.0824,-47.1114,-46.6956,-45.7445,-43.7211,-42.0571,-39.4802,-35.9164,-31.9929,-35.5129,-38.1237,-40.1421,-42.5656,-44.2323,-45.4032,-59.3018,-59.4745,-54.0127,-50.7089,-45.853,-36.0056,-30.8969,-34.0489,-37.2875,-39.5504,-41.7299,-43.5583,-45.131,-45.6265,-27.6965,-32.9168,-37.2429,-40.6369,-44.0776,-29.9093,-32.9875,-34.9771,-37.2679,-38.7893,-40.311,-41.457,-42.0138,-58.475,-43.7234,-53.4472,-35.137,-57.8803,-43.8283,-56.7852,-39.1646,-43.8229,-28.5609,-45.1602,-31.8561,-47.4079,-36.2056,-47.668,-35.1317,-43.8866,-31.5381,-46.6747,-46.9883,-45.2475,-35.6955,-38.9183,-58.475,-47.4079,-45.0691,-44.6752,-37.6902,-45.4407,-43.8005,-37.5129,-43.013,-44.8674,-47.1266,-46.4441,-46.5129,-46.7266,-54.4393,-53.0983,-53.6512,-34.2097,-48.9289,-59.2858,-58.6044,-58.2159,-56.9386,-39.1154,-37.0876,-27.2428,-32.4559,-35.7804,-37.5889,-39.296,-43.8899,-45.6123,-46.4031,-47.6765,-46.4843,-48.6387,-42.5356,-45.1951,-36.988,-44.7761,-47.1732,-45.7067,-45.6508,-41.3886,-32.5201,-36.7978,-38.6794,-35.9699,-36.3989,-31.4481
gen=0_member=10,1.65585,1.62639,1.66259,1.60489,1.32565,1.32897,1.40827,1.3828,1.33446,1.42801,1.43632,1.39824,1.18298,1.23479,1.36002,1.69622,1.42761,1.37414,1.64539,1.70361,6.21024e+08,-28.8744,-32.8951,-37.0331,-40.9438,-44.2576,-46.2725,-49.0112,-56.6937,-56.2837,-54.8224,-41.3335,-33.7083,-29.6521,-35.0721,-38.9355,-42.1197,-45.2401,-47.2847,-52.7589,-53.208,-52.492,-46.6791,-42.4601,-30.746,-35.1653,-38.02,-40.3491,-42.6106,-44.0346,-45.1307,-45.8193,-45.7353,-45.2214,-44.1525,-41.7017,-38.4803,-33.4924,-27.942,-31.8031,-36.5888,-39.5804,-42.3058,-44.3623,-45.6462,-46.6731,-47.1035,-47.1339,-46.7184,-45.7659,-43.7409,-42.074,-39.4937,-35.9275,-32.0009,-35.5205,-38.1309,-40.1492,-42.5729,-44.2395,-45.4101,-59.8401,-60.089,-54.6252,-51.2223,-46.3108,-36.3857,-31.097,-34.2744,-37.5487,-39.8458,-42.0648,-43.9363,-45.5234,-46.0192,-27.8694,-33.105,-37.4472,-40.8549,-44.3064,-30.0977,-33.1778,-35.167,-37.4752,-39.0128,-40.558,-41.7253,-42.2941,-59.3574,-37.8841,-55.8715,-41.2424,-58.9842,-39.0845,-57.7461,-35.1518,-44.5008,-24.6919,-45.3666,-22.6151,-47.8745,-29.4258,-47.7847,-25.1345,-44.6295,-26.8563,-46.6896,-47.0024,-45.26,-35.7038,-39.1128,-59.3574,-47.8745,-45.347,-44.8853,-37.7883,-45.588,-43.9959,-37.5249,-43.0309,-44.8881,-47.1497,-46.4725,-46.5489,-46.7656,-54.6568,-53.3112,-53.8508,-34.3101,-49.0801,-59.9703,-59.1915,-59.1109,-57.7766,-39.1203,-37.0944,-27.3306,-32.4889,-35.9326,-37.9402,-39.6449,-44.276,-46.011,-46.7935,-48.0867,-46.8782,-49.0685,-42.8365,-45.5573,-37.1037,-44.9344,-47.3777,-45.7155,-45.6608,-41.3938,-32.5245,-36.8021,-38.6865,-35.9782,-36.4008,-31.4501
gen=0_member=11,1.6053,1.59618,1.63379,1.16226,1.27382,1.29682,1.35342,1.40233,1.33355,1.42759,1.43592,1.39788,1.1827,1.22746,1.34673,1.66957,1.40295,1.37148,1.63298,1.68071,6.19082e+08,-28.7717,-32.7853,-36.9122,-40.8122,-44.1113,-46.1137,-48.8245,-55.894,-55.3666,-53.9098,-40.8511,-33.3241,-29.4186,-34.8134,-38.6544,-41.8226,-44.9265,-46.9674,-52.448,-52.9104,-52.2135,-46.4161,-42.2015,-30.5782,-34.9786,-37.8201,-40.1375,-42.384,-43.8064,-44.9285,-45.6245,-45.5553,-45.0644,-44.0216,-41.5895,-38.3817,-33.4054,-27.8603,-31.7721,-36.5576,-39.5482,-42.2736,-44.3304,-45.614,-46.642,-47.0728,-47.1011,-46.6852,-45.7343,-43.711,-42.0477,-39.4714,-35.9079,-31.987,-35.5076,-38.1187,-40.1373,-42.5607,-44.2275,-45.3985,-59.173,-59.3145,-53.7926,-50.5343,-45.7012,-35.8844,-31.0283,-34.1989,-37.4651,-39.7557,-41.9668,-43.8258,-45.3958,-45.8845,-27.7322,-32.95,-37.2728,-40.6715,-44.1144,-30.0329,-33.1137,-35.1034,-37.4064,-38.9386,-40.4753,-41.6329,-42.1945,-58.1884,-49.9393,-55.0615,-52.1271,-57.8355,-51.6953,-55.4477,-22.3195,-43.7577,-34.8797,-44.6876,-36.0192,-46.7902,-39.2456,-47.8864,-42.7948,-44.5278,-39.9709,-46.6671,-46.9808,-45.2402,-35.6883,-38.7904,-58.1884,-46.7902,-44.9967,-44.6148,-37.6548,-45.3925,-43.7428,-37.5044,-43.0034,-44.8572,-47.1163,-46.4318,-46.4983,-46.7113,-54.3183,-52.9735,-53.529,-34.1503,-48.8371,-59.214,-58.5748,-57.9952,-56.4826,-39.1116,-37.0828,-27.2983,-32.4414,-35.8783,-37.7641,-39.4744,-44.0898,-45.8214,-46.6173,-47.904,-46.7282,-48.8826,-42.7348,-45.4231,-36.9352,-44.7073,-47.0892,-45.7008,-45.6444,-41.3846,-32.5164,-36.7942,-38.6745,-35.9643,-36.3938,-31.4425
